name,postal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,,,,,,,,,,,,,,,
Alabama,AL,0.010570439,0.015210991,0.015527324,0.026455026,0.021932928,0.013766373,0.010301692,0.020073439,0.059797358,0.0870341,0.044647709,0.037351086,0.086607018,0.07900128,,,,,,,,,,,,,,,,,
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Arizona,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Arkansas,AR,0.120677966,0.124046772,0.149191176,0.1855588,0.139444502,0.112451861,0.112829933,0.127773383,0.18342795,0.206732741,0.190727925,0.197152154,0.26894466,0.234755494,,,,,,,,,,,,,,,,,
California,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Colorado,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Connecticut,CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Delaware,DE,0.128129602,0.094389439,0.08026208,0.169796557,0.127965492,0.066438356,0.087657784,0.091880342,0.108298755,0.160425532,0.138773819,0.130695867,0.180880975,0.13744232,,,,,,,,,,,,,,,,,
Florida,FL,0.000235361,0.000236742,0.000297339,0.000521822,0.000575153,0.000213347,0.000116518,0.000307829,0.001449704,0.002000318,0.001103785,0.00054615,0.001501982,0.001723464,,,,,,,,,,,,,,,,,
Georgia,GA,0.006514321,0.007699415,0.00788835,0.019074599,0.014610523,0.007366035,0.006362422,0.023556611,0.031817052,0.04483519,0.01742603,0.005739483,0.024882717,0.021100175,,,,,,,,,,,,,,,,,
Hawaii,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Idaho,ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Illinois,IL,0.288817974,0.278928465,0.280774429,0.34088326,0.283850735,0.254202088,0.2598339,0.248268952,0.294045143,0.329253928,0.352751521,0.292019511,0.370521297,0.38721278,,,,,,,,,,,,,,,,,
Indiana,IN,0.285173979,0.261252643,0.274863874,0.356715494,0.280572846,0.281286579,0.264077996,0.26344103,0.294352384,0.348841467,0.345040887,0.283105393,0.373472005,0.365262321,,,,,,,,,,,,,,,,,
Iowa,IA,0.257983169,0.251834359,0.256197113,0.281593241,0.252573538,0.23926603,0.216894585,0.253739588,0.248510489,0.284780984,0.293681527,0.249434265,0.298523735,0.266148578,,,,,,,,,,,,,,,,,
Kansas,KS,0.049097211,0.077143989,0.058962963,0.08451934,0.114645427,0.095172855,0.090916863,0.095381883,0.138071895,0.214431398,0.176209802,0.123603775,0.159659501,0.165187823,,,,,,,,,,,,,,,,,
Kentucky,KY,0.091725334,0.10068921,0.107739718,0.184095178,0.126786257,0.112200436,0.115828804,0.084138546,0.213290003,0.291170258,0.224153859,0.212501626,0.293222514,0.270743453,,,,,,,,,,,,,,,,,
Louisiana,LA,0.063294973,0.057800824,0.067982456,0.090669225,0.09094147,0.076127934,0.070315206,0.068224141,0.105944554,0.132531887,0.126689189,0.096205557,0.20204447,0.155722326,,,,,,,,,,,,,,,,,
Maine,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Maryland,MD,0.1123295,0.091831558,0.066492451,0.169769643,0.122437193,0.09455081,0.093998356,0.098342541,0.113247173,0.16005291,0.147243108,0.137694105,0.214114258,0.146552791,,,,,,,,,,,,,,,,,
Massachussetts,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Michigan,MI,0.140152274,0.116515945,0.153264925,0.152853555,0.129818594,0.128242307,0.125322165,0.133882059,0.144417232,0.18264023,0.184321874,0.147160494,0.207420625,0.151648974,,,,,,,,,,,,,,,,,
Minnesota,MN,0.239275458,0.215748031,0.237751832,0.269251083,0.18510877,0.218098752,0.192213702,0.220022218,0.216410304,0.25571161,0.268788402,0.217119144,0.290882761,0.220908954,,,,,,,,,,,,,,,,,
Mississippi,MS,0.091353781,0.081077928,0.112893121,0.141861883,0.119824606,0.111349419,0.080099019,0.122258327,0.199560601,0.237706524,0.221089967,0.176936174,0.283424365,0.258630278,,,,,,,,,,,,,,,,,
Missouri,MO,0.239994282,0.230568562,0.257153338,0.276419985,0.255941299,0.223672394,0.221811171,0.248869981,0.275947934,0.352649626,0.345978153,0.277745065,0.327919685,0.320644397,,,,,,,,,,,,,,,,,
Montana,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Nebraska,NE,0.146035163,0.1658177,0.146275395,0.203345324,0.192201151,0.191882367,0.170236043,0.174486094,0.213555199,0.259077406,0.261972741,0.206619802,0.2488039,0.245487365,,,,,,,,,,,,,,,,,
Nevada,NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New Hampshire,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New Jersey,NJ,0.024464832,0.018950931,0.01585695,0.031139647,0.028025478,0.015321155,0.016214847,0.020204215,0.028371711,0.038751107,0.026583593,0.032804811,0.049457177,0.033991228,,,,,,,,,,,,,,,,,
New Mexico,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New York,NY,0.015261628,0.018181818,0.018208303,0.031086142,0.023140213,0.023624544,0.026046638,0.035230934,0.039792878,0.044848592,0.055649614,0.043064049,0.067602512,0.047910864,,,,,,,,,,,,,,,,,
North Carolina,NC,0.056382408,0.048744552,0.047601584,0.090410959,0.058820253,0.045798057,0.048823744,0.053123831,0.091322188,0.108090063,0.084138416,0.06617371,0.128801572,0.083801889,,,,,,,,,,,,,,,,,
North Dakota,ND,0.098378983,0.105024394,0.131151293,0.175401722,0.116590442,0.137283622,0.150334753,0.138190507,0.148683918,0.203824021,0.216485586,0.165043662,0.29419033,0.216494341,,,,,,,,,,,,,,,,,
Ohio,OH,0.236110211,0.222242863,0.213911386,0.322962233,0.245049915,0.244594673,0.240014139,0.288140257,0.263577162,0.361487037,0.352952756,0.32607051,0.379537068,0.320837601,,,,,,,,,,,,,,,,,
Oklahoma,OK,0.009571727,0.01127153,0.016646562,0.022200875,0.019234768,0.015492402,0.008684182,0.014061611,0.024203103,0.050168671,0.042538354,0.011061162,0.016933712,0.033656324,,,,,,,,,,,,,,,,,
Oregon,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Pennsylvania,PA,0.037897614,0.02969597,0.028135251,0.059576504,0.041763341,0.037341299,0.03495485,0.054190247,0.050530599,0.06482031,0.06641791,0.059069298,0.085249124,0.06556213,,,,,,,,,,,,,,,,,
Rhode Island,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
South Carolina,SC,0.05978898,0.045295228,0.0459375,0.099747475,0.068109339,0.04032634,0.054070851,0.06302682,0.112819066,0.105860113,0.084123711,0.055353802,0.109757401,0.063170571,,,,,,,,,,,,,,,,,
South Dakota,SD,0.232843137,0.214394581,0.219038495,0.267873303,0.217898833,0.195125565,0.193001443,0.221972477,0.207592075,0.298660391,0.290701256,0.226352446,0.313325526,0.311580124,,,,,,,,,,,,,,,,,
Tennessee,TN,0.116933827,0.110928782,0.124451199,0.180618913,0.143121354,0.120360111,0.119720102,0.078456592,0.206210659,0.289580514,0.196051236,0.152141502,0.244882342,0.245632723,,,,,,,,,,,,,,,,,
Texas,TX,0.004777304,0.003956513,0.003889662,0.005011018,0.005176782,0.003202692,0.001614665,0.002615536,0.004236032,0.005450564,0.004775581,0.001351371,0.003460615,0.002661703,,,,,,,,,,,,,,,,,
Utah,UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Vermont,VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Virginia,VA,0.072005098,0.067208904,0.04735013,0.101710502,0.078438875,0.058801357,0.061178116,0.083669355,0.094941549,0.12596465,0.098177543,0.109994568,0.162627119,0.123869347,,,,,,,,,,,,,,,,,
Washington,WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
West Virginia,WV,0.022364217,0.017751479,0.02233677,0.032467532,0.028985507,0.018897638,0.021770682,0.023255814,0.034358047,0.035414725,0.027972028,0.033823529,0.049623116,0.038694075,,,,,,,,,,,,,,,,,
Wisconsin,WI,0.118190406,0.107375163,0.126567845,0.127384669,0.095614847,0.113442361,0.093115622,0.106717709,0.114458555,0.162929975,0.173686701,0.138896095,0.17411488,0.115969936,,,,,,,,,,,,,,,,,
Wyoming,WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
